Tipo,Descripcion,Habitaciones,Baños,Área,Barrio,UPZ,Valor
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 360.000.000
Casa,Casa en venta en Castilla,4,3,170,Castilla,KENNEDY: Castilla + Bavaria,$ 670.000.000
Apartamento,Apartamento en venta en Chico Reservado,3,3,144,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.120.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,154,Usaquén,Usaquén,$ 890.000.000
Apartamento,Apartamento en venta en Bella Suiza,2,3,128,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 970.000.000
Apartamento,Apartamento en venta en Bella Suiza,1,2,62,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 510.000.000
Apartamento,Apartamento en venta en Bella Suiza,1,2,62,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 500.000.000
Apartamento,Apartamento en venta en Bella Suiza,3,4,212,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 2.350.000.000
Apartamento,Apartamento en venta en El Chicó,3,2,159,El Chicó,CHAPINERO: Chicó Lago + El Refugio,$ 850.000.000
Apartamento,Apartamento en venta en Bella Suiza,2,2,80,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 642.000.000
Apartamento,Apartamento en venta en Bella Suiza,2,2,80,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 652.000.000
Casa,Casa en venta en Tintala,3,2,59,Tintala,Tintala,$ 168.000.000
Apartamento,Apartamento en venta en Tintala,2,1,45,Tintala,Tintala,$ 205.000.000
Casa,Casa en venta en Marly,3,3,147,Marly,CHAPINERO: Pardo Rubio + Chapinero,$ 300.000.000
Apartamento,Apartamento en venta en Kennedy,4,3,98,Kennedy,Kennedy Central,$ 680.000.000
Casa,Casa en venta en Zona Noroccidental,3,4,300,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 2.519.000.000
Apartamento,Apartamento en venta en Nicolas De Federman,3,2,87,Nicolas De Federman,Teusaquillo,$ 420.000.000
Apartamento,Apartamento en venta en La Calleja,2,2,82,La Calleja,USAQUÉN: Country Club + Santa Bárbara,$ 620.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,1,45,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 239.000.000
Casa,Casa en venta en Zona Noroccidental,3,6,380,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.600.000.000
Apartamento,Apartamento en venta en Usaquén,1,2,50,Usaquén,Usaquén,$ 420.000.000
Apartamento,Apartamento en venta en Nicolas De Federman,3,2,89,Nicolas De Federman,Teusaquillo,$ 625.000.000
Casa,Casa en venta en Zona Noroccidental,3,5,365,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 2.799.000.000
Casa,Casa en venta en Zona Noroccidental,5,5,450,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.450.000.000
Casa,Casa en venta en Zona Noroccidental,4,5,315,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 2.000.000.000
Apartamento,Apartamento en venta en Mazuren,3,3,102,Mazuren,El Prado,$ 670.000.000
Casa,Casa en venta en Zona Noroccidental,4,6,423,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.800.000.000
Apartamento,Apartamento en venta en Suba,3,2,75,Suba,Suba,$ 469.000.000
Casa,Casa en venta en Zona Noroccidental,5,2,200,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 580.000.000
Apartamento,Apartamento en venta en Barrios Unidos,3,2,67,Barrios Unidos,Los Andes,$ 445.000.000
Apartamento,Apartamento en venta en Usaquén,3,3,66,Usaquén,Usaquén,$ 261.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 278.000.000
Apartamento,Apartamento en venta en Engativa,3,2,60,Engativa,Engativá,$ 258.000.000
Apartamento,Apartamento en venta en Fontibón,3,3,87,Fontibón,Fontibón,$ 520.000.000
Casa,Casa en venta en Tintala,3,2,75,Tintala,Tintala,$ 200.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,45,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 129.000.000
Apartamento,Apartamento en venta en Villa Alsacia,3,2,75,Villa Alsacia,KENNEDY: Castilla + Bavaria,$ 350.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,32,2,63,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 290.500.000
Apartamento,Apartamento en venta en Palermo,3,2,130,Palermo,Galerías,$ 750.000.000
Apartamento,Apartamento en venta en Chico Reservado,1,1,64,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 495.000.000
Casa,Casa en venta en Zona Noroccidental,3,2,86,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 285.000.000
Apartamento,Apartamento en venta en La Candelaria,4,4,160,La Candelaria,La Candelaria,$ 900.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,4,4,294,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.800.000.000
Apartamento,Apartamento en venta en El Contador,3,3,206,El Contador,Los Cedros,$ 990.000.000
Apartamento,Apartamento en venta en El Batán,3,3,103,El Batán,La Alhambra,$ 418.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,80,Usaquén,Usaquén,$ 349.000.000
Apartamento,Apartamento en venta en Santa Barbara,3,1,101,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 565.000.000
Apartamento,Apartamento en venta en Mirandela ,3,3,87,Mirandela ,SUBA: La Academia + Guaymaral + San José de Bavaria,$ 370.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 259.000.000
Apartamento,Apartamento en venta en Castilla,3,2,68,Castilla,KENNEDY: Castilla + Bavaria,$ 310.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,79,Cedritos,Usaquén,$ 354.000.000
Apartamento,Apartamento en venta en Mazuren,3,3,92,Mazuren,El Prado,$ 372.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,88,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 500.000.000
Apartamento,Apartamento en venta en Fontibón,3,2,84,Fontibón,Fontibón,$ 420.000.000
Apartamento,Apartamento en venta en El Contador,3,3,177,El Contador,Los Cedros,$ 1.050.000.000
Apartamento,Apartamento en venta en Kennedy,2,1,40,Kennedy,Kennedy Central,$ 185.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,80,Usaquén,Usaquén,$ 349.000.000
Apartamento,Apartamento en venta en Colina Campestre,3,3,109,Colina Campestre,Niza,$ 515.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,75,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 287.000.000
Apartamento,Apartamento en venta en Colina Campestre,2,1,50,Colina Campestre,Niza,$ 265.000.000
Apartamento,Apartamento en venta en Fontibón,3,2,87,Fontibón,Fontibón,$ 500.000.000
Apartamento,Apartamento en venta en Usaquén,3,3,66,Usaquén,Usaquén,$ 261.500.000
